city,state_id,state_name,county_name,lat,lng,population,density,timezone,ranking,zip_count,zip_population,zips
Springfield,MI,Michigan,Calhoun,42.3246,-85.2371,5198,547,America/Detroit,3,1,5198,49037
West Wendover,NV,Nevada,Elko,40.7407,-114.0783,5197,220,America/Los_Angeles,3,1,5197,89883
Obetz,OH,Ohio,Franklin,39.8671,-82.9451,5196,344,America/New_York,3,3,1732,43125 43137 43207
Bisbee,AZ,Arizona,Cochise,31.4126,-109.9179,5193,389,America/Phoenix,3,1,5193,85603
River Ridge,FL,Florida,Pasco,28.2669,-82.6257,5191,477,America/New_York,3,1,5191,34654
Hampshire,IL,Illinois,Kane,42.1124,-88.5122,5190,260,America/Chicago,3,1,5190,60140
Ocean Bluff-Brant Rock,MA,Massachusetts,Plymouth,42.1006,-70.6625,5190,921,America/New_York,3,1,5190,2050
Sawmills,NC,North Carolina,Caldwell,35.8162,-81.4779,5189,302,America/New_York,3,2,2595,28630 28638
Attica,IN,Indiana,Fountain,40.2874,-87.2452,5187,692,America/Indiana/Indianapolis,3,1,5187,47918
Thiells,NY,New York,Rockland,41.2067,-74.0122,5186,1085,America/New_York,3,2,2593,10984 10923
Mount Olive,NC,North Carolina,Wayne,35.1997,-78.0662,5183,643,America/New_York,3,1,5183,28365
Algona,IA,Iowa,Kossuth,43.0743,-94.2302,5182,463,America/Chicago,3,1,5182,50511
Firthcliffe,NY,New York,Orange,41.4409,-74.0353,5178,674,America/New_York,3,1,5178,12518
West Loch Estate,HI,Hawaii,Honolulu,21.3617,-158.0246,5177,3040,Pacific/Honolulu,2,1,5177,96706
Parker,TX,Texas,Collin,33.057,-96.6248,5177,235,America/Chicago,3,2,2589,75094 75002
Collegeville,PA,Pennsylvania,Montgomery,40.1873,-75.4581,5174,1270,America/New_York,3,1,5174,19426
Richmond,MO,Missouri,Ray,39.2755,-93.9731,5174,354,America/Chicago,3,1,5174,64085
Creve Coeur,IL,Illinois,Tazewell,40.6425,-89.5983,5169,471,America/Chicago,3,1,5169,61610
Morris,MN,Minnesota,Stevens,45.5856,-95.9048,5169,440,America/Chicago,3,1,5169,56267
Cold Spring Harbor,NY,New York,Suffolk,40.8608,-73.4488,5164,544,America/New_York,3,2,2582,11743 11724
Maplewood,WA,Washington,Pierce,47.3716,-122.5689,5163,240,America/Los_Angeles,3,1,5163,98332
Zephyrhills South,FL,Florida,Pasco,28.2152,-82.1886,5163,1019,America/New_York,3,2,2582,33542 33541
Lake City,MN,Minnesota,Wabasha,44.4453,-92.2796,5162,441,America/Chicago,3,1,5162,55041
Three Points,AZ,Arizona,Pima,32.0596,-111.2866,5161,42,America/Phoenix,3,2,2581,85735 85736
Ettrick,VA,Virginia,Chesterfield,37.2435,-77.4287,5159,674,America/New_York,3,3,1720,23803 23806 23834
South Haven,IN,Indiana,Porter,41.5438,-87.1367,5159,1602,America/Chicago,3,1,5159,46385
Erwin,NC,North Carolina,Harnett,35.3226,-78.6734,5156,472,America/New_York,3,2,2578,28339 28334
Grosse Pointe,MI,Michigan,Wayne,42.3915,-82.9118,5154,1873,America/Toronto,3,1,5154,48230
Grambling,LA,Louisiana,Lincoln,32.5276,-92.7124,5150,337,America/Chicago,3,2,2575,71245 71270
Warm Mineral Springs,FL,Florida,Sarasota,27.0469,-82.2702,5149,870,America/New_York,3,1,5149,34287
Lakeview,GA,Georgia,Catoosa,34.9777,-85.2539,5147,874,America/New_York,3,1,5147,30741
Ottawa,OH,Ohio,Putnam,41.0203,-84.0354,5147,369,America/New_York,3,1,5147,45875
Boiling Spring Lakes,NC,North Carolina,Brunswick,34.0322,-78.068,5146,104,America/New_York,3,1,5146,28461
Odessa,MO,Missouri,Lafayette,38.9988,-93.9666,5146,494,America/Chicago,3,1,5146,64076
Birdsboro,PA,Pennsylvania,Berks,40.262,-75.8099,5143,1500,America/New_York,3,1,5143,19508
Bristol,WI,Wisconsin,Kenosha,42.5378,-88.0149,5142,60,America/Chicago,3,2,2571,53142 53104
Tice,FL,Florida,Lee,26.6758,-81.8171,5142,1804,America/New_York,3,1,5142,33905
Red Oak,IA,Iowa,Montgomery,41.0141,-95.2248,5142,516,America/Chicago,3,1,5142,51566
St. James,NC,North Carolina,Brunswick,33.9467,-78.1132,5141,264,America/New_York,3,1,5141,28461
Ayden,NC,North Carolina,Pitt,35.4694,-77.4167,5141,516,America/New_York,3,1,5141,28513
Glendale,CO,Colorado,Arapahoe,39.7036,-104.9352,5141,3444,America/Denver,2,1,5141,80246
St. Clairsville,OH,Ohio,Belmont,40.0792,-80.8997,5141,820,America/New_York,3,1,5141,43950
Turtle Creek,PA,Pennsylvania,Allegheny,40.4085,-79.8214,5138,2046,America/New_York,2,1,5138,15145
Brady,TX,Texas,McCulloch,31.1322,-99.3697,5137,228,America/Chicago,3,1,5137,76825
Margaret,AL,Alabama,St. Clair,33.6735,-86.468,5137,201,America/Chicago,3,2,2569,35112 35120
Bliss Corner,MA,Massachusetts,Bristol,41.6054,-70.9421,5137,991,America/New_York,3,1,5137,2748
Colville,WA,Washington,Stevens,48.5454,-117.8986,5135,604,America/Los_Angeles,3,1,5135,99114
Fort Rucker,AL,Alabama,Dale,31.3428,-85.7154,5134,182,America/Chicago,3,1,5134,36362
Denair,CA,California,Stanislaus,37.5262,-120.7994,5131,949,America/Los_Angeles,3,1,5131,95316
Primera,TX,Texas,Cameron,26.2237,-97.7528,5130,713,America/Chicago,3,1,5130,78552
Humboldt,IA,Iowa,Humboldt,42.7232,-94.2245,5128,383,America/Chicago,3,1,5128,50548
Sergeant Bluff,IA,Iowa,Woodbury,42.3976,-96.3517,5127,673,America/Chicago,3,1,5127,51054
Spring Valley,IL,Illinois,Bureau,41.3357,-89.2034,5125,269,America/Chicago,3,1,5125,61362
Osceola,IA,Iowa,Clarke,41.0302,-93.7829,5125,285,America/Chicago,3,1,5125,50213
Flagler Beach,FL,Florida,Flagler,29.4716,-81.1303,5123,551,America/New_York,3,2,2562,32136 32143
Rainsville,AL,Alabama,DeKalb,34.4939,-85.8435,5123,95,America/Chicago,3,1,5123,35986
Kenneth City,FL,Florida,Pinellas,27.8155,-82.7162,5121,2770,America/New_York,2,1,5121,33709
Simonton Lake,IN,Indiana,Elkhart,41.7478,-85.9657,5121,563,America/Detroit,3,1,5121,46514
Lone Grove,OK,Oklahoma,Carter,34.1809,-97.2559,5121,79,America/Chicago,3,2,2561,73443 73401
Colona,IL,Illinois,Henry,41.4678,-90.3445,5120,518,America/Chicago,3,1,5120,61241
Suncook,NH,New Hampshire,Merrimack,43.1382,-71.4529,5111,530,America/New_York,3,1,5111,3275
Carmi,IL,Illinois,White,38.0863,-88.1718,5111,748,America/Chicago,3,1,5111,62821
Shanor-Northvue,PA,Pennsylvania,Butler,40.9104,-79.9157,5107,291,America/New_York,3,1,5107,16001
Utica,MI,Michigan,Macomb,42.629,-83.0218,5107,1121,America/Detroit,3,3,1702,48315 48317 48318
San Leon,TX,Texas,Galveston,29.4901,-94.9403,5106,419,America/Chicago,3,1,5106,77539
Schuylkill Haven,PA,Pennsylvania,Schuylkill,40.6284,-76.1729,5106,1410,America/New_York,3,1,5106,17972
Poplar Grove,IL,Illinois,Boone,42.3516,-88.8353,5104,257,America/Chicago,3,1,5104,61065
Scott City,MO,Missouri,Scott,37.2243,-89.536,5104,357,America/Chicago,3,1,5104,63780
Portland,MI,Michigan,Ionia,42.8696,-84.899,5104,579,America/Detroit,3,1,5104,48875
Buellton,CA,California,Santa Barbara,34.6152,-120.1943,5102,1245,America/Los_Angeles,3,1,5102,93427
Daleville,AL,Alabama,Dale,31.2915,-85.7117,5102,139,America/Chicago,3,1,5102,36322
Belleview,FL,Florida,Marion,29.0609,-82.0565,5101,507,America/New_York,3,2,2551,34420 34421
Chadron,NE,Nebraska,Dawes,42.826,-103.0025,5101,535,America/Denver,3,1,5101,69337
South Pasadena,FL,Florida,Pinellas,27.7526,-82.7394,5095,3224,America/New_York,2,1,5095,33707
Brownfields,LA,Louisiana,East Baton Rouge,30.5467,-91.1225,5092,474,America/Chicago,3,1,5092,70811
Mayfair,CA,California,Fresno,36.7693,-119.7612,5091,3791,America/Los_Angeles,2,1,5091,93703
Rio Hondo,TX,Texas,Cameron,26.2347,-97.5817,5082,619,America/Chicago,3,1,5082,78583
North Fond du Lac,WI,Wisconsin,Fond du Lac,43.8107,-88.4861,5081,924,America/Chicago,3,1,5081,54937
Crestwood,KY,Kentucky,Oldham,38.3356,-85.4839,5081,484,America/New_York,3,1,5081,40014
Paradise Hills,NM,New Mexico,Bernalillo,35.1981,-106.7023,5079,1917,America/Denver,3,2,2540,87114 87193
Fox Chapel,PA,Pennsylvania,Allegheny,40.5247,-79.8898,5076,249,America/New_York,3,2,2538,15215 15238
Midway North,TX,Texas,Hidalgo,26.1872,-98.0188,5074,1086,America/Chicago,3,2,2537,78537 78596
Offutt AFB,NE,Nebraska,Sarpy,41.1207,-95.9209,5074,494,America/Chicago,3,2,2537,68113 68123
De Motte,IN,Indiana,Jasper,41.1988,-87.1973,5073,447,America/Chicago,3,1,5073,46310
Glencoe,AL,Alabama,Etowah,33.9449,-85.9319,5071,116,America/Chicago,3,2,2536,35903 35905
McKenzie,TN,Tennessee,Carroll,36.1371,-88.5077,5070,324,America/Chicago,3,1,5070,38201
Bay Hill,FL,Florida,Orange,28.4558,-81.5122,5066,823,America/New_York,3,2,2533,32836 32819
Doffing,TX,Texas,Hidalgo,26.2788,-98.3856,5065,451,America/Chicago,3,1,5065,78574
Kings Park,VA,Virginia,Fairfax,38.8026,-77.2396,5064,1503,America/New_York,3,1,5064,22151
Munroe Falls,OH,Ohio,Summit,41.1386,-81.4344,5063,705,America/New_York,3,2,2532,44278 44262
Canutillo,TX,Texas,El Paso,31.9185,-106.6006,5061,713,America/Denver,3,2,2531,79932 79835
Monee,IL,Illinois,Will,41.4181,-87.7499,5061,439,America/Chicago,3,1,5061,60449
Williamston,NC,North Carolina,Martin,35.8468,-77.0655,5060,457,America/New_York,3,1,5060,27892
Buckley,WA,Washington,Pierce,47.1615,-122.02,5058,505,America/Los_Angeles,3,1,5058,98321
Gretna,NE,Nebraska,Sarpy,41.1319,-96.2447,5058,802,America/Chicago,3,1,5058,68028
Stewartstown,PA,Pennsylvania,York,39.7528,-76.5925,5057,1037,America/New_York,3,1,5057,17363
Garnet,CA,California,Riverside,33.9179,-116.4796,5057,247,America/Los_Angeles,3,2,2529,92240 92241
Clifton,AZ,Arizona,Greenlee,33.0249,-109.2883,5049,98,America/Phoenix,3,1,5049,85533
Livingston,TX,Texas,Polk,30.71,-94.9381,5048,231,America/Chicago,3,2,2524,77351 77399
Berkeley,IL,Illinois,Cook,41.8891,-87.9114,5048,1390,America/Chicago,3,1,5048,60163
Vancleave,MS,Mississippi,Jackson,30.5483,-88.6675,5048,45,America/Chicago,3,1,5048,39565
Carver,MN,Minnesota,Carver,44.76,-93.6305,5046,440,America/Chicago,3,2,2523,55315 55318
Yarmouth Port,MA,Massachusetts,Barnstable,41.71,-70.2257,5045,323,America/New_York,3,1,5045,2675
Dundee,FL,Florida,Polk,28.0115,-81.5995,5044,185,America/New_York,3,4,1261,33898 33877 33838 33844
Summit,WI,Wisconsin,Waukesha,43.0504,-88.4815,5041,92,America/Chicago,3,1,5041,53066
Morganville,NJ,New Jersey,Monmouth,40.3756,-74.2444,5041,359,America/New_York,3,1,5041,7751
Bowie,TX,Texas,Montague,33.5566,-97.844,5040,357,America/Chicago,3,1,5040,76230
Amelia,OH,Ohio,Clermont,39.0229,-84.2184,5039,1085,America/New_York,3,1,5039,45102
Harrisburg,SD,South Dakota,Lincoln,43.4321,-96.7037,5038,707,America/Chicago,3,1,5038,57032
Mechanicville,NY,New York,Saratoga,42.9037,-73.6895,5037,2313,America/New_York,2,1,5037,12118
Krum,TX,Texas,Denton,33.2652,-97.2256,5036,783,America/Chicago,3,1,5036,76249
East Flat Rock,NC,North Carolina,Henderson,35.2802,-82.4171,5036,453,America/New_York,3,3,1679,28792 28726 28731
Barling,AR,Arkansas,Sebastian,35.3284,-94.2792,5036,189,America/Chicago,3,2,2518,72941 72923
Citrus Park,AZ,Arizona,Maricopa,33.5304,-112.444,5033,335,America/Phoenix,3,2,2517,85355 85340
Whiskey Creek,FL,Florida,Lee,26.5733,-81.8903,5030,1257,America/New_York,3,1,5030,33919
La Crescent,MN,Minnesota,Houston,43.8299,-91.3043,5029,582,America/Chicago,3,1,5029,55947
King George,VA,Virginia,King George,38.2807,-77.1896,5028,180,America/New_York,3,1,5028,22485
Summit,AZ,Arizona,Pima,32.0619,-110.9483,5027,523,America/Phoenix,3,1,5027,85756
Olyphant,PA,Pennsylvania,Lackawanna,41.4507,-75.5753,5023,356,America/New_York,3,3,1674,18447 18512 18448
Dulles Town Center,VA,Virginia,Loudoun,39.0265,-77.4196,5023,807,America/New_York,3,1,5023,20166
Sea Cliff,NY,New York,Nassau,40.8441,-73.6442,5020,1738,America/New_York,3,1,5020,11579
Abbeville,SC,South Carolina,Abbeville,34.1787,-82.3774,5019,311,America/New_York,3,1,5019,29620
Caruthersville,MO,Missouri,Pemiscot,36.1814,-89.6664,5017,400,America/Chicago,3,1,5017,63830
West Salem,WI,Wisconsin,La Crosse,43.8989,-91.0883,5015,578,America/Chicago,3,1,5015,54669
Mullins,SC,South Carolina,Marion,34.2042,-79.2535,5010,533,America/New_York,3,1,5010,29574
Swoyersville,PA,Pennsylvania,Luzerne,41.2975,-75.8799,5009,910,America/New_York,3,1,5009,18704
Greenfield,OH,Ohio,Highland,39.3535,-83.3884,5008,846,America/New_York,3,1,5008,45123
Hudson,TX,Texas,Angelina,31.3285,-94.8014,5005,381,America/Chicago,3,1,5005,75904
Dwight,IL,Illinois,Livingston,41.0987,-88.424,5005,490,America/Chicago,3,1,5005,60420
Ridgeland,SC,South Carolina,Jasper,32.468,-80.9176,5005,30,America/New_York,3,1,5005,29936
Worland,WY,Wyoming,Washakie,44.0026,-107.9543,5003,422,America/Denver,3,1,5003,82401
Oak Park Heights,MN,Minnesota,Washington,45.0324,-92.8099,5003,667,America/Chicago,3,1,5003,55082
Midfield,AL,Alabama,Jefferson,33.4552,-86.9226,5002,727,America/Chicago,3,2,2501,35221 35228
Gillespie,IL,Illinois,Macoupin,39.1258,-89.8173,5002,803,America/Chicago,3,1,5002,62033
Hockinson,WA,Washington,Clark,45.7302,-122.4833,5001,140,America/Los_Angeles,3,1,5001,98606
Montevideo,MN,Minnesota,Chippewa,44.9505,-95.7153,5001,413,America/Chicago,3,1,5001,56265
Port LaBelle,FL,Florida,Hendry,26.7493,-81.3876,5000,238,America/New_York,3,1,5000,33935
Timnath,CO,Colorado,Larimer,40.5343,-104.962,4998,306,America/Denver,3,4,1250,80547 80528 80524 80525
Dellwood,MO,Missouri,St. Louis,38.7564,-90.2767,4997,1863,America/Chicago,3,2,2499,63136 63135
South Barrington,IL,Illinois,Cook,42.0881,-88.158,4996,259,America/Chicago,3,1,4996,60010
Milan,IL,Illinois,Rock Island,41.4415,-90.5593,4991,308,America/Chicago,3,1,4991,61264
Avondale,LA,Louisiana,Jefferson,29.9072,-90.1933,4989,346,America/Chicago,3,1,4989,70094
Pittsburg,TX,Texas,Camp,32.9997,-94.9668,4988,503,America/Chicago,3,1,4988,75686
Highgrove,CA,California,Riverside,34.0106,-117.3098,4986,598,America/Los_Angeles,3,3,1662,92557 92324 92507
Loughman,FL,Florida,Polk,28.2381,-81.5685,4984,563,America/New_York,3,3,1661,33896 33837 33858
Beckett,NJ,New Jersey,Gloucester,39.7565,-75.3564,4983,1098,America/New_York,3,1,4983,8085
Glen Head,NY,New York,Nassau,40.845,-73.618,4983,1171,America/New_York,3,1,4983,11545
Glasgow Village,MO,Missouri,St. Louis,38.7579,-90.1984,4981,1996,America/Chicago,3,1,4981,63137
Huxley,IA,Iowa,Story,41.8963,-93.5914,4980,485,America/Chicago,3,2,2490,50046 50124
Harrah,OK,Oklahoma,Oklahoma,35.4779,-97.1857,4980,206,America/Chicago,3,2,2490,73020 73045
Johnstown,OH,Ohio,Licking,40.15,-82.6881,4977,659,America/New_York,3,1,4977,43031
Princeton,MN,Minnesota,Mille Lacs,45.5689,-93.59,4975,383,America/Chicago,3,1,4975,55371
Berryville,AR,Arkansas,Carroll,36.3713,-93.5704,4974,352,America/Chicago,3,1,4974,72616
Gibson,AR,Arkansas,Pulaski,34.8923,-92.2341,4972,403,America/Chicago,3,1,4972,72120
Alexandria,IN,Indiana,Madison,40.2584,-85.676,4968,729,America/Indiana/Indianapolis,3,1,4968,46001
Muleshoe,TX,Texas,Bailey,34.2292,-102.7284,4967,564,America/Chicago,3,1,4967,79347
Winnsboro,LA,Louisiana,Franklin,32.1651,-91.721,4967,439,America/Chicago,3,2,2484,71295 71230
Westvale,NY,New York,Onondaga,43.04,-76.2177,4964,1404,America/New_York,3,1,4964,13219
White Hall,AR,Arkansas,Jefferson,34.2737,-92.1005,4963,274,America/Chicago,3,1,4963,71602
Adairsville,GA,Georgia,Bartow,34.3708,-84.9211,4963,204,America/New_York,3,1,4963,30103
Jonesboro,GA,Georgia,Clayton,33.5212,-84.3541,4962,757,America/New_York,3,2,2481,30236 30237
Poolesville,MD,Maryland,Montgomery,39.1423,-77.4102,4960,515,America/New_York,3,1,4960,20837
Parker,AZ,Arizona,La Paz,34.0286,-114.2224,4959,56,America/Phoenix,3,2,2480,85344 85346
Carrollton,KY,Kentucky,Carroll,38.68,-85.1656,4958,716,America/New_York,3,1,4958,41008
Everson,WA,Washington,Whatcom,48.9123,-122.351,4957,839,America/Los_Angeles,3,1,4957,98247
Clementon,NJ,New Jersey,Camden,39.8046,-74.9851,4957,1011,America/New_York,3,1,4957,8021
Raeford,NC,North Carolina,Hoke,34.981,-79.2291,4956,446,America/New_York,3,1,4956,28376
Wellington,OH,Ohio,Lorain,41.161,-82.2268,4955,522,America/New_York,3,1,4955,44090
Carlyss,LA,Louisiana,Calcasieu,30.1761,-93.3704,4953,172,America/Chicago,3,1,4953,70665
Cicero,IN,Indiana,Hamilton,40.1247,-86.0242,4953,1174,America/Indiana/Indianapolis,3,1,4953,46034
Sissonville,WV,West Virginia,Kanawha,38.5042,-81.6398,4951,149,America/New_York,3,1,4951,25320
Westlake,LA,Louisiana,Calcasieu,30.2606,-93.2638,4951,518,America/Chicago,3,1,4951,70669
Kingsford,MI,Michigan,Dickinson,45.8061,-88.0994,4951,441,America/Menominee,3,1,4951,49802
Wildwood,NJ,New Jersey,Cape May,38.9877,-74.8188,4948,1239,America/New_York,3,1,4948,8260
Stafford Springs,CT,Connecticut,Tolland,41.9595,-72.3105,4947,299,America/New_York,3,1,4947,6076
Alvarado,TX,Texas,Johnson,32.4068,-97.2149,4945,421,America/Chicago,3,1,4945,76009
Centreville,MD,Maryland,Queen Anne's,39.042,-76.0631,4944,697,America/New_York,3,1,4944,21617
Prairie Grove,AR,Arkansas,Washington,35.9858,-94.3048,4943,280,America/Chicago,3,2,2472,72753 72730
Chain Lake,WA,Washington,Snohomish,47.9038,-121.9861,4942,180,America/Los_Angeles,3,1,4942,98290
Jasper,FL,Florida,Hamilton,30.5062,-82.954,4941,664,America/New_York,3,1,4941,32052
Circle Pines,MN,Minnesota,Anoka,45.1409,-93.1505,4938,1090,America/Chicago,3,1,4938,55014
Concordia,KS,Kansas,Cloud,39.5669,-97.6466,4936,427,America/Chicago,3,1,4936,66901
Eagleville,PA,Pennsylvania,Montgomery,40.1604,-75.409,4934,1179,America/New_York,3,3,1645,19403 19408 19415
Maize,KS,Kansas,Sedgwick,37.7748,-97.462,4934,197,America/Chicago,3,2,2467,67101 67223
Pleasant Garden,NC,North Carolina,Guilford,35.9595,-79.7599,4932,126,America/New_York,3,2,2466,27406 27313
Long View,NC,North Carolina,Catawba,35.7217,-81.3858,4930,475,America/New_York,3,2,2465,28601 28602
Farmville,NC,North Carolina,Pitt,35.5955,-77.5913,4928,545,America/New_York,3,1,4928,27828
Falmouth,VA,Virginia,Stafford,38.3319,-77.4655,4928,610,America/New_York,3,1,4928,22405
Montrose-Ghent,OH,Ohio,Summit,41.1538,-81.6438,4928,202,America/New_York,3,2,2464,44333 44372
Northvale,NJ,New Jersey,Bergen,41.0099,-73.9505,4927,1503,America/New_York,3,1,4927,7647
Crystal Springs,MS,Mississippi,Copiah,31.9903,-90.354,4925,335,America/Chicago,3,1,4925,39059
Belvedere,SC,South Carolina,Aiken,33.5369,-81.9424,4925,551,America/New_York,3,1,4925,29841
Toronto,OH,Ohio,Jefferson,40.4581,-80.6096,4923,911,America/New_York,3,1,4923,43964
Royal Pines,NC,North Carolina,Buncombe,35.4783,-82.5038,4921,700,America/New_York,3,2,2461,28803 28704
Wheatley Heights,NY,New York,Suffolk,40.7625,-73.3704,4921,1445,America/New_York,3,1,4921,11798
Silver Hill,MD,Maryland,Prince George's,38.8392,-76.9367,4921,1418,America/New_York,3,1,4921,20746
Bolivar,TN,Tennessee,Hardeman,35.2645,-89.0118,4914,234,America/Chicago,3,1,4914,38008
Midway,NC,North Carolina,Davidson,35.9751,-80.2204,4912,243,America/New_York,3,2,2456,27127 27107
St. Joseph,IL,Illinois,Champaign,40.1141,-88.0354,4911,715,America/Chicago,3,1,4911,61873
Eastwood,LA,Louisiana,Bossier,32.5606,-93.5625,4910,298,America/Chicago,3,2,2455,71037 71067
Buena Vista,CO,Colorado,Chaffee,38.832,-106.1386,4910,325,America/Denver,3,1,4910,81211
New Haven,MI,Michigan,Macomb,42.7306,-82.7953,4907,749,America/Detroit,3,1,4907,48048
Deale,MD,Maryland,Anne Arundel,38.791,-76.5469,4905,356,America/New_York,3,3,1635,20751 20733 20779
Prospect,KY,Kentucky,Jefferson,38.3471,-85.6103,4905,494,America/New_York,3,1,4905,40059
Butler Beach,FL,Florida,St. Johns,29.798,-81.2653,4904,744,America/New_York,3,1,4904,32080
Sugarcreek,PA,Pennsylvania,Venango,41.438,-79.8183,4904,50,America/New_York,3,3,1635,16301 16323 16343
Bridgeville,PA,Pennsylvania,Allegheny,40.3578,-80.1061,4903,1727,America/New_York,3,1,4903,15017
Winona Lake,IN,Indiana,Kosciusko,41.2166,-85.8106,4902,684,America/Indiana/Indianapolis,3,2,2451,46580 46590
Terryville,CT,Connecticut,Litchfield,41.6784,-73.0064,4900,685,America/New_York,3,1,4900,6786
Greenbrier,AR,Arkansas,Faulkner,35.2289,-92.3836,4898,275,America/Chicago,3,1,4898,72058
Centreville,IL,Illinois,St. Clair,38.5798,-90.1039,4897,451,America/Chicago,3,3,1632,62207 62205 62203
Iowa Falls,IA,Iowa,Hardin,42.519,-93.2662,4897,362,America/Chicago,3,1,4897,50126
Lake Worth,TX,Texas,Tarrant,32.813,-97.4306,4896,767,America/Chicago,3,1,4896,76135
Hazardville,CT,Connecticut,Hartford,41.9899,-72.5256,4896,574,America/New_York,3,1,4896,6082
Macon,MO,Missouri,Macon,39.7424,-92.4712,4895,343,America/Chicago,3,1,4895,63552
Sawgrass,FL,Florida,St. Johns,30.19,-81.3704,4894,624,America/New_York,3,1,4894,32082
Demarest,NJ,New Jersey,Bergen,40.955,-73.9567,4894,912,America/New_York,3,1,4894,7627
Telford,PA,Pennsylvania,Montgomery,40.3259,-75.3274,4894,1876,America/New_York,3,1,4894,18969
Cashmere,WA,Washington,Chelan,47.5177,-120.4673,4893,1052,America/Los_Angeles,3,1,4893,98815
Hawaiian Ocean View,HI,Hawaii,Hawaii,19.0959,-155.775,4891,52,Pacific/Honolulu,3,1,4891,96737
Lake San Marcos,CA,California,San Diego,33.1196,-117.2088,4890,1106,America/Los_Angeles,3,1,4890,92078
Flower Hill,NY,New York,Nassau,40.8075,-73.6755,4889,1167,America/New_York,3,3,1630,11030 11576 11050
Kayenta,AZ,Arizona,Navajo,36.7144,-110.2589,4889,143,America/Denver,3,1,4889,86033
Salem,MO,Missouri,Dent,37.6399,-91.5346,4889,598,America/Chicago,3,1,4889,65560
Massac,KY,Kentucky,McCracken,37.0335,-88.6859,4888,468,America/Chicago,3,1,4888,42001
Big Pine Key,FL,Florida,Monroe,24.6892,-81.3676,4887,184,America/New_York,3,1,4887,33043
Island Park,NY,New York,Nassau,40.6051,-73.6553,4886,4241,America/New_York,2,1,4886,11558
Blue Point,NY,New York,Suffolk,40.7518,-73.0352,4882,1046,America/New_York,3,1,4882,11715
Desloge,MO,Missouri,St. Francois,37.8751,-90.5192,4882,645,America/Chicago,3,2,2441,63628 63601
Davison,MI,Michigan,Genesee,43.0319,-83.5186,4881,948,America/Detroit,3,1,4881,48423
West Columbia,TX,Texas,Brazoria,29.1422,-95.649,4880,589,America/Chicago,3,1,4880,77486
Candlewick Lake,IL,Illinois,Boone,42.3524,-88.8693,4877,1018,America/Chicago,3,1,4877,61065
New Lexington,OH,Ohio,Perry,39.716,-82.208,4876,926,America/New_York,3,1,4876,43764
Vandergrift,PA,Pennsylvania,Westmoreland,40.5994,-79.5748,4875,1383,America/New_York,3,1,4875,15690
Grandyle Village,NY,New York,Erie,42.9866,-78.9524,4873,1000,America/Toronto,3,1,4873,14072
Miami Heights,OH,Ohio,Hamilton,39.1687,-84.7152,4873,535,America/New_York,3,2,2437,45002 45248
Mayville,WI,Wisconsin,Dodge,43.4986,-88.5475,4871,580,America/Chicago,3,1,4871,53050
Denton,MD,Maryland,Caroline,38.8769,-75.8265,4871,330,America/New_York,3,1,4871,21629
Hunters Creek Village,TX,Texas,Harris,29.7715,-95.4987,4869,962,America/Chicago,3,1,4869,77024
Vinton,IA,Iowa,Benton,42.1631,-92.026,4869,401,America/Chicago,3,1,4869,52349
Shenandoah,IA,Iowa,Page,40.7583,-95.372,4869,496,America/Chicago,3,2,2435,51601 51603
Middlefield,OH,Ohio,Geauga,41.4604,-81.0734,4869,342,America/New_York,3,1,4869,44062
Lake Barrington,IL,Illinois,Lake,42.2121,-88.1684,4868,327,America/Chicago,3,1,4868,60010
Carle Place,NY,New York,Nassau,40.75,-73.6122,4867,2009,America/New_York,2,1,4867,11514
Berlin,MD,Maryland,Worcester,38.3309,-75.215,4866,558,America/New_York,3,1,4866,21811
Clarks Summit,PA,Pennsylvania,Lackawanna,41.4902,-75.7065,4865,1184,America/New_York,3,1,4865,18411
Vamo,FL,Florida,Sarasota,27.2254,-82.4944,4862,1281,America/New_York,3,3,1621,34231 34238 34229
Diboll,TX,Texas,Angelina,31.1881,-94.783,4861,423,America/Chicago,3,1,4861,75941
East Harwich,MA,Massachusetts,Barnstable,41.7081,-70.0339,4859,233,America/New_York,3,2,2430,02645 02661
Schlusser,PA,Pennsylvania,Cumberland,40.2421,-77.1778,4857,690,America/New_York,3,1,4857,17013
West Bay Shore,NY,New York,Suffolk,40.708,-73.2719,4853,856,America/New_York,3,1,4853,11706
Chittenango,NY,New York,Madison,43.0462,-75.8749,4852,753,America/New_York,3,1,4852,13037
Duryea,PA,Pennsylvania,Luzerne,41.3537,-75.7758,4852,337,America/New_York,3,1,4852,18642
Palmetto,GA,Georgia,Fulton,33.5311,-84.6677,4851,157,America/New_York,3,1,4851,30268
Manheim,PA,Pennsylvania,Lancaster,40.1631,-76.3963,4849,1354,America/New_York,3,1,4849,17545
Whitehouse,OH,Ohio,Lucas,41.5215,-83.7957,4845,434,America/New_York,3,1,4845,43571
Manchester,IA,Iowa,Delaware,42.4854,-91.4556,4844,396,America/Chicago,3,1,4844,52057
Sulphur,OK,Oklahoma,Murray,34.4977,-96.9899,4842,283,America/Chicago,3,1,4842,73086
Highland Lakes,NJ,New Jersey,Sussex,41.1716,-74.4643,4840,432,America/New_York,3,2,2420,07462 07422
Rutherford,PA,Pennsylvania,Dauphin,40.2696,-76.7678,4838,1506,America/New_York,3,1,4838,17111
Normandy,MO,Missouri,St. Louis,38.7071,-90.3009,4838,1008,America/Chicago,3,1,4838,63121
